#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_set_id: https://w3id.org/nfosi/
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2026-07-20
#curie_map: 
# nf: https://w3id.org/synapse/nfosi/vocab/
# personinfo: https://w3id.org/linkml/examples/personinfo/
# linkml: https://w3id.org/linkml/
# schema: http://schema.org/
# rdfs: http://www.w3.org/2000/01/rdf-schema#
# skos: http://www.w3.org/2004/02/skos/core#
# prov: http://www.w3.org/ns/prov#
# htan: https://raw.githubusercontent.com/ncihtan/data-models/main/HTAN.model.jsonld
# NCIT: http://purl.obolibrary.org/obo/NCIT_
# BTO: http://purl.obolibrary.org/obo/BTO_
# UBERON: http://purl.obolibrary.org/obo/UBERON_
# OBI: http://purl.obolibrary.org/obo/OBI_
# UO: http://purl.obolibrary.org/obo/UO_
# CL: http://purl.obolibrary.org/obo/CL_
# CHMO: http://purl.obolibrary.org/obo/CHMO_
# MI: http://purl.obolibrary.org/obo/MI_
# MMO: http://purl.obolibrary.org/obo/MMO_
# ERO: http://purl.obolibrary.org/obo/ERO_
# MAXO: http://purl.obolibrary.org/obo/MAXO_
# MONDO: http://purl.obolibrary.org/obo/MONDO_
# HP: http://purl.obolibrary.org/obo/HP_
# VT: http://purl.obolibrary.org/obo/VT_
# FMA: http://purl.obolibrary.org/obo/FMA_
# CLO: http://purl.obolibrary.org/obo/CLO_
# GENO: http://purl.obolibrary.org/obo/GENO_
# GO: http://purl.obolibrary.org/obo/GO_
# IAO: http://purl.obolibrary.org/obo/IAO_
# MS: http://purl.obolibrary.org/obo/MS_
# OMIABIS: http://purl.obolibrary.org/obo/OMIABIS_
# FBbi: http://purl.obolibrary.org/obo/FBbi_
# FBcv: http://purl.obolibrary.org/obo/FBcv_
# PATO: http://purl.obolibrary.org/obo/PATO_
# EFO: http://www.ebi.ac.uk/efo/EFO_
# EDAM: http://edamontology.org/
# BAO: http://www.bioassayontology.org/bao#BAO_
# SWO: http://www.ebi.ac.uk/swo/data/SWO_
# SNOMED: http://snomed.info/id/
# ENM: http://purl.enanomapper.org/onto/ENM_
# DCM: http://dicom.nema.org/resources/ontology/DCM/
# CHEMINF: http://semanticscience.org/resource/CHEMINF_
# CMPO: http://www.ebi.ac.uk/cmpo/CMPO_
# ZFA: http://purl.obolibrary.org/obo/ZFA_
# DOID: http://purl.obolibrary.org/obo/DOID_
# DUO: http://purl.obolibrary.org/obo/DUO_
# NBO: http://purl.obolibrary.org/obo/NBO_
# NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
# MESH: https://id.nlm.nih.gov/mesh/
# OMIM: https://omim.org/entry/
# rrid: https://identifiers.org/RRID:
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
nf:CellBasedAssayEnum#localfieldpotentialrecording	localfieldpotentialrecording	skos:exactMatch		OBI:0002189		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#longtermpotentiationassay	longtermpotentiationassay	skos:exactMatch		VT:0002207		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#massivelyparallelreporterassay	massivelyparallelreporterassay	skos:exactMatch		OBI:0002675		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#nanoparticletrackinganalysis	nanoparticletrackinganalysis	skos:exactMatch		ENM:0000065		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#perineurialcellthickness	perineurialcellthickness	skos:exactMatch		MI:0410		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#polymerasechainreaction	polymerasechainreaction	skos:exactMatch		MMO:0000459		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#quantitativePCR	quantitativePCR	skos:exactMatch		MI:1195		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#reportergeneassay	reportergeneassay	skos:exactMatch		OBI:0002082		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#rheometry	rheometry	skos:exactMatch		CHMO:0000915		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#sandwichELISA	sandwichELISA	skos:exactMatch		BAO:0002421		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#smallmoleculelibraryscreen	smallmoleculelibraryscreen	skos:exactMatch		ERO:0001726		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#sorbitoldehydrogenaseactivitylevelassay	sorbitoldehydrogenaseactivitylevelassay	skos:exactMatch		OBI:0003434		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#staticlightscattering	staticlightscattering	skos:exactMatch		CHMO:0000180		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#survival	survival	skos:exactMatch		MI:0410		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#trans-endothelialelectricalresistance	trans-endothelialelectricalresistance	skos:exactMatch		ENM:8000301		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#westernblot	westernblot	skos:exactMatch		MMO:0000338		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
