Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
Ohio University,,,,FALSE,,,,,,,,,Institution,,,,
"Oklahoma State University, Stillwater",,,,FALSE,,,,,,,,,Institution,,,,
Oregon Health and Science University,,,,FALSE,,,,,,,,,Institution,,,,
Oregon State University,,,,FALSE,,,,,,,,,Institution,,,,
Pacific Northwest National Laboratory,,,,FALSE,,,,,,,,,Institution,,,,
"Pennsylvania State University, University Park and Hershey Medical Center",,,,FALSE,,,,,,,,,Institution,,,,
Portland State University,,,,FALSE,,,,,,,,,Institution,,,,
Prairie View A&M University,,,,FALSE,,,,,,,,,Institution,,,,
Princeton University,,,,FALSE,,,,,,,,,Institution,,,,
"Purdue University, West Lafayette",,,,FALSE,,,,,,,,,Institution,,,,
Rensselaer Polytechnic Institute,,,,FALSE,,,,,,,,,Institution,,,,
Rice University,,,,FALSE,,,,,,,,,Institution,,,,
Rochester Institute of Technology,,,,FALSE,,,,,,,,,Institution,,,,
Rockefeller University,,,,FALSE,,,,,,,,,Institution,,,,
Rosalind Franklin University ofMedicine and Science,,,,FALSE,,,,,,,,,Institution,,,,
Rush University,,,,FALSE,,,,,,,,,Institution,,,,
"Rutgers State University of New Jersey, New Brunswick",,,,FALSE,,,,,,,,,Institution,,,,
"Rutgers State University of New Jersey, Newark",,,,FALSE,,,,,,,,,Institution,,,,
Saint Louis University,,,,FALSE,,,,,,,,,Institution,,,,
San Diego State University,,,,FALSE,,,,,,,,,Institution,,,,
San Francisco State University,,,,FALSE,,,,,,,,,Institution,,,,
San Jose State University,,,,FALSE,,,,,,,,,Institution,,,,
Scripps Research Institute,,,,FALSE,,,,,,,,,Institution,,,,
Seattle Children's,,,,FALSE,,,,,,,,,Institution,,,,
South Dakota State University,,,,FALSE,,,,,,,,,Institution,,,,
"Southern Illinois University, Carbondale",,,,FALSE,,,,,,,,,Institution,,,,
"Southern Illinois University, Edwardsville",,,,FALSE,,,,,,,,,Institution,,,,
Southern Methodist University,,,,FALSE,,,,,,,,,Institution,,,,
Stanford University,,,,FALSE,,,,,,,,,Institution,,,,
State University of New York Polytechnic Institute,,,,FALSE,,,,,,,,,Institution,,,,
"State University of New York, Albany",,,,FALSE,,,,,,,,,Institution,,,,
"State University of New York, Buffalo",,,,FALSE,,,,,,,,,Institution,,,,
"State University of New York, Upstate Medical University",,,,FALSE,,,,,,,,,Institution,,,,
Stevens Institute of Technology,,,,FALSE,,,,,,,,,Institution,,,,
Stony Brook University,,,,FALSE,,,,,,,,,Institution,,,,
"SUNY, Binghamton University",,,,FALSE,,,,,,,,,Institution,,,,
"SUNY, Downstate Health Sciences University",,,,FALSE,,,,,,,,,Institution,,,,
Syracuse University,,,,FALSE,,,,,,,,,Institution,,,,
Tarleton State University,,,,FALSE,,,,,,,,,Institution,,,,
Temple University,,,,FALSE,,,,,,,,,Institution,,,,
Tennessee State University,,,,FALSE,,,,,,,,,Institution,,,,
Tennessee Technological University,,,,FALSE,,,,,,,,,Institution,,,,
Texas A&M University,,,,FALSE,,,,,,,,,Institution,,,,
Texas Christian University,,,,FALSE,,,,,,,,,Institution,,,,
Texas State University,,,,FALSE,,,,,,,,,Institution,,,,
Texas Tech University,,,,FALSE,,,,,,,,,Institution,,,,
Texas Tech University of Health Sciences Center,,,,FALSE,,,,,,,,,Institution,,,,
Thomas Jefferson University,,,,FALSE,,,,,,,,,Institution,,,,
Tufts University,,,,FALSE,,,,,,,,,Institution,,,,
Tulane University,,,,FALSE,,,,,,,,,Institution,,,,
Tuskegee University,,,,FALSE,,,,,,,,,Institution,,,,
Uniformed Services University of the Health Sciences,,,,FALSE,,,,,,,,,Institution,,,,
University College of London,,,,FALSE,,,,,,,,,Institution,,,,
University of Akron,,,,FALSE,,,,,,,,,Institution,,,,
University of Alabama,,,,FALSE,,,,,,,,,Institution,,,,
"University of Alabama, Birmingham",,,,FALSE,,,,,,,,,Institution,,,,
"University of Alabama, Huntsville",,,,FALSE,,,,,,,,,Institution,,,,
"University of Alabama, Tuscaloosa",,,,FALSE,,,,,,,,,Institution,,,,
"University of Alaska, Anchorage",,,,FALSE,,,,,,,,,Institution,,,,
"University of Alaska, Fairbanks",,,,FALSE,,,,,,,,,Institution,,,,
University of Arizona,,,,FALSE,,,,,,,,,Institution,,,,
University of Arkansas for Medical Sciences,,,,FALSE,,,,,,,,,Institution,,,,
"University of Arkansas, Fayetteville",,,,FALSE,,,,,,,,,Institution,,,,
University of Baltimore,,,,FALSE,,,,,,,,,Institution,,,,
"University of California, Berkeley",,,,FALSE,,,,,,,,,Institution,,,,
"University of California, Davis",,,,FALSE,,,,,,,,,Institution,,,,
"University of California, Irvine",,,,FALSE,,,,,,,,,Institution,,,,
"University of California, Los Angeles",,,,FALSE,,,,,,,,,Institution,,,,
"University of California, Merced",,,,FALSE,,,,,,,,,Institution,,,,
"University of California, Riverside",,,,FALSE,,,,,,,,,Institution,,,,
"University of California, San Diego",,,,FALSE,,,,,,,,,Institution,,,,
"University of California, San Francisco",,,,FALSE,,,,,,,,,Institution,,,,
"University of California, Santa Barbara",,,,FALSE,,,,,,,,,Institution,,,,
"University of California, Santa Cruz",,,,FALSE,,,,,,,,,Institution,,,,
University of Central Florida,,,,FALSE,,,,,,,,,Institution,,,,
University of Chicago,,,,FALSE,,,,,,,,,Institution,,,,
University of Cincinnati,,,,FALSE,,,,,,,,,Institution,,,,
University of Colorado Boulder,,,,FALSE,,,,,,,,,Institution,,,,
University of Colorado Denver and Anschutz Medical Campus,,,,FALSE,,,,,,,,,Institution,,,,
University of Connecticut,,,,FALSE,,,,,,,,,Institution,,,,
University of Dayton,,,,FALSE,,,,,,,,,Institution,,,,
University of Delaware,,,,FALSE,,,,,,,,,Institution,,,,
University of Denver,,,,FALSE,,,,,,,,,Institution,,,,
University of Florida,,,,FALSE,,,,,,,,,Institution,,,,
University of Georgia,,,,FALSE,,,,,,,,,Institution,,,,
"University of Hawaii, Manoa",,,,FALSE,,,,,,,,,Institution,,,,
University of Houston,,,,FALSE,,,,,,,,,Institution,,,,
University of Idaho,,,,FALSE,,,,,,,,,Institution,,,,
"University of Illinois, Chicago",,,,FALSE,,,,,,,,,Institution,,,,
"University of Illinois, Urbana-Champaign",,,,FALSE,,,,,,,,,Institution,,,,
University of Iowa,,,,FALSE,,,,,,,,,Institution,,,,
University of Kansas,,,,FALSE,,,,,,,,,Institution,,,,
University of Kentucky,,,,FALSE,,,,,,,,,Institution,,,,
University of Louisiana at Lafayette,,,,FALSE,,,,,,,,,Institution,,,,
University of Louisville,,,,FALSE,,,,,,,,,Institution,,,,
University of Maine,,,,FALSE,,,,,,,,,Institution,,,,
"University of Maryland, Baltimore County",,,,FALSE,,,,,,,,,Institution,,,,
"University of Maryland, Eastern Shore",,,,FALSE,,,,,,,,,Institution,,,,
"University of Massachusetts, Amherst",,,,FALSE,,,,,,,,,Institution,,,,
"University of Massachusetts, Boston",,,,FALSE,,,,,,,,,Institution,,,,
"University of Massachusetts, Dartmouth",,,,FALSE,,,,,,,,,Institution,,,,
"University of Massachusetts, Lowell",,,,FALSE,,,,,,,,,Institution,,,,
"University of Massachusetts, Medical School",,,,FALSE,,,,,,,,,Institution,,,,
University of Memphis,,,,FALSE,,,,,,,,,Institution,,,,
University of Miami,,,,FALSE,,,,,,,,,Institution,,,,
"University of Michigan, Ann Arbor",,,,FALSE,,,,,,,,,Institution,,,,
"University of Minnesota, Duluth",,,,FALSE,,,,,,,,,Institution,,,,
"University of Minnesota, Twin Cities",,,,FALSE,,,,,,,,,Institution,,,,
University of Mississippi,,,,FALSE,,,,,,,,,Institution,,,,
"University of Missouri, Columbia",,,,FALSE,,,,,,,,,Institution,,,,
"University of Missouri, Kansas City",,,,FALSE,,,,,,,,,Institution,,,,
"University of Missouri, Saint Louis",,,,FALSE,,,,,,,,,Institution,,,,
"University of Montana, Missoula",,,,FALSE,,,,,,,,,Institution,,,,
"University of Nebraska, Lincoln",,,,FALSE,,,,,,,,,Institution,,,,
"University of Nebraska, Medical Center",,,,FALSE,,,,,,,,,Institution,,,,
"University of Nebraska, Omaha",,,,FALSE,,,,,,,,,Institution,,,,
"University of Nevada, Las Vegas",,,,FALSE,,,,,,,,,Institution,,,,
"University of Nevada, Reno",,,,FALSE,,,,,,,,,Institution,,,,
University of New Hampshire,,,,FALSE,,,,,,,,,Institution,,,,
University of New Mexico,,,,FALSE,,,,,,,,,Institution,,,,
University of New Orleans,,,,FALSE,,,,,,,,,Institution,,,,
"University of North Carolina, Chapel Hill",,,,FALSE,,,,,,,,,Institution,,,,
"University of North Carolina, Charlotte",,,,FALSE,,,,,,,,,Institution,,,,
"University of North Carolina, Greensboro",,,,FALSE,,,,,,,,,Institution,,,,
"University of North Carolina, Wilmington",,,,FALSE,,,,,,,,,Institution,,,,
University of North Dakota,,,,FALSE,,,,,,,,,Institution,,,,
"University of North Texas, Denton",,,,FALSE,,,,,,,,,Institution,,,,
"University of North Texas, Health Science Center",,,,FALSE,,,,,,,,,Institution,,,,
University of Notre Dame,,,,FALSE,,,,,,,,,Institution,,,,
University of Oklahoma,,,,FALSE,,,,,,,,,Institution,,,,
University of Oregon,,,,FALSE,,,,,,,,,Institution,,,,
University of Pennsylvania,,,,FALSE,,,,,,,,,Institution,,,,
"University of Pittsburgh, Pittsburgh",,,,FALSE,,,,,,,,,Institution,,,,
"University of Puerto Rico, Mayaguez",,,,FALSE,,,,,,,,,Institution,,,,
"University of Puerto Rico, Medical Sciences Campus",,,,FALSE,,,,,,,,,Institution,,,,
"University of Puerto Rico, Rio Piedras",,,,FALSE,,,,,,,,,Institution,,,,
University of Rhode Island,,,,FALSE,,,,,,,,,Institution,,,,
University of Rochester,,,,FALSE,,,,,,,,,Institution,,,,
University of South Alabama,,,,FALSE,,,,,,,,,Institution,,,,
"University of South Carolina, Columbia",,,,FALSE,,,,,,,,,Institution,,,,
University of South Dakota,,,,FALSE,,,,,,,,,Institution,,,,
"University of South Florida, Saint Petersburg",,,,FALSE,,,,,,,,,Institution,,,,
"University of South Florida, Tampa",,,,FALSE,,,,,,,,,Institution,,,,
University of Southern California,,,,FALSE,,,,,,,,,Institution,,,,
University of Southern Mississippi,,,,FALSE,,,,,,,,,Institution,,,,
"University of Tennessee, Health Science Center",,,,FALSE,,,,,,,,,Institution,,,,
"University of Tennessee, Knoxville",,,,FALSE,,,,,,,,,Institution,,,,
"University of Texas Health Science Center, Houston",,,,FALSE,,,,,,,,,Institution,,,,
"University of Texas Health Science Center, San Antonio",,,,FALSE,,,,,,,,,Institution,,,,
"University of Texas Health Science Center, Tyler",,,,FALSE,,,,,,,,,Institution,,,,
University of Texas M. D. Anderson Cancer Center,,,,FALSE,,,,,,,,,Institution,,,,
University of Texas Medical Branch at Galveston,,,,FALSE,,,,,,,,,Institution,,,,
University of Texas Rio Grande Valley,,,,FALSE,,,,,,,,,Institution,,,,
University of Texas Southwestern Medical Center,,,,FALSE,,,,,,,,,Institution,,,,
"University of Texas, Arlington",,,,FALSE,,,,,,,,,Institution,,,,
"University of Texas, Austin",,,,FALSE,,,,,,,,,Institution,,,,
"University of Texas, Dallas",,,,FALSE,,,,,,,,,Institution,,,,
"University of Texas, El Paso",,,,FALSE,,,,,,,,,Institution,,,,
"University of Texas, San Antonio",,,,FALSE,,,,,,,,,Institution,,,,
University of Toledo,,,,FALSE,,,,,,,,,Institution,,,,
University of Tulsa,,,,FALSE,,,,,,,,,Institution,,,,
University of Utah,,,,FALSE,,,,,,,,,Institution,,,,
University of Vermont,,,,FALSE,,,,,,,,,Institution,,,,
"University of Virginia, Charlottesville",,,,FALSE,,,,,,,,,Institution,,,,
"University of Washington, Seattle",,,,FALSE,,,,,,,,,Institution,,,,
University of West Florida,,,,FALSE,,,,,,,,,Institution,,,,
University of Wisconsin-Madison,,,,FALSE,,,,,,,,,Institution,,,,
University of Wisconsin-Milwaukee,,,,FALSE,,,,,,,,,Institution,,,,
University of Wyoming,,,,FALSE,,,,,,,,,Institution,,,,
Utah State University,,,,FALSE,,,,,,,,,Institution,,,,
Van Andel Research Institute,,,,FALSE,,,,,,,,,Institution,,,,
Vanderbilt University,,,,FALSE,,,,,,,,,Institution,,,,
Villanova University,,,,FALSE,,,,,,,,,Institution,,,,
Virginia Commonwealth University,,,,FALSE,,,,,,,,,Institution,,,,
Virginia Polytechnic Institute and State University,,,,FALSE,,,,,,,,,Institution,,,,
Wake Forest University,,,,FALSE,,,,,,,,,Institution,,,,
Washington State University,,,,FALSE,,,,,,,,,Institution,,,,
Washington University in St. Louis,,,,FALSE,,,,,,,,,Institution,,,,
Wayne State University,,,,FALSE,,,,,,,,,Institution,,,,
West Virginia University,,,,FALSE,,,,,,,,,Institution,,,,
Western Michigan University,,,,FALSE,,,,,,,,,Institution,,,,
Wichita State University,,,,FALSE,,,,,,,,,Institution,,,,
William & Mary,,,,FALSE,,,,,,,,,Institution,,,,
Worcester Polytechnic Institute,,,,FALSE,,,,,,,,,Institution,,,,
Yale University,,,,FALSE,,,,,,,,,Institution,,,,
